,loss,mse,mae,root_mean_squared_error,val_loss,val_mse,val_mae,val_root_mean_squared_error
0,0.19346213340759277,0.19346213340759277,0.3287198841571808,0.4398432970046997,0.18846888840198517,0.18846888840198517,0.3183506727218628,0.4341300427913666
1,0.18457046151161194,0.18457046151161194,0.321252703666687,0.42961663007736206,0.1830788254737854,0.1830788254737854,0.3173058331012726,0.42787712812423706
2,0.18286830186843872,0.18286830186843872,0.3197784721851349,0.4276310205459595,0.18164750933647156,0.18164750933647156,0.31629592180252075,0.4262012541294098
3,0.18189875781536102,0.18189875781536102,0.31880423426628113,0.42649590969085693,0.18113431334495544,0.18113431334495544,0.3164544999599457,0.42559877038002014
4,0.18120010197162628,0.18120010197162628,0.31805384159088135,0.42567604780197144,0.18150460720062256,0.18150460720062256,0.32302987575531006,0.4260335862636566
5,0.18055236339569092,0.18055236339569092,0.31733572483062744,0.42491453886032104,0.1808500736951828,0.1808500736951828,0.3134021759033203,0.42526471614837646
6,0.18000482022762299,0.18000482022762299,0.31677719950675964,0.42426973581314087,0.17877456545829773,0.17877456545829773,0.3174718916416168,0.4228174090385437
7,0.17948336899280548,0.17948336899280548,0.3162330090999603,0.4236547648906708,0.17862600088119507,0.17862600088119507,0.3160143792629242,0.42264169454574585
8,0.179007887840271,0.179007887840271,0.31568920612335205,0.4230932295322418,0.1775577813386917,0.1775577813386917,0.31374478340148926,0.4213760495185852
9,0.17862695455551147,0.17862695455551147,0.3153270483016968,0.4226428270339966,0.17771096527576447,0.17771096527576447,0.3118981719017029,0.42155778408050537
10,0.17834898829460144,0.17834898829460144,0.31503036618232727,0.4223138391971588,0.17952628433704376,0.17952628433704376,0.3113856315612793,0.42370542883872986
11,0.1782068908214569,0.1782068908214569,0.31487706303596497,0.4221455752849579,0.18361692130565643,0.18361692130565643,0.3115027844905853,0.42850545048713684
12,0.17799966037273407,0.17799966037273407,0.31461790204048157,0.42190006375312805,0.17715179920196533,0.17715179920196533,0.312686026096344,0.420894056558609
13,0.17787839472293854,0.17787839472293854,0.31450819969177246,0.4217563271522522,0.1775454878807068,0.1775454878807068,0.31080275774002075,0.4213614761829376
14,0.17776769399642944,0.17776769399642944,0.31439119577407837,0.4216250777244568,0.1766136735677719,0.1766136735677719,0.31440237164497375,0.42025429010391235
15,0.17763075232505798,0.17763075232505798,0.3142522871494293,0.42146262526512146,0.17737877368927002,0.17737877368927002,0.3119100332260132,0.4211635887622833
16,0.1775844246149063,0.1775844246149063,0.3142194151878357,0.42140766978263855,0.1774352341890335,0.1774352341890335,0.31090614199638367,0.42123061418533325
17,0.17744503915309906,0.17744503915309906,0.3140201270580292,0.42124226689338684,0.17720894515514374,0.17720894515514374,0.31582072377204895,0.4209619164466858
18,0.17729830741882324,0.17729830741882324,0.31388378143310547,0.4210680425167084,0.17683590948581696,0.17683590948581696,0.30982911586761475,0.4205186069011688
19,0.17721645534038544,0.17721645534038544,0.3138328790664673,0.4209708571434021,0.17674505710601807,0.17674505710601807,0.31400343775749207,0.4204105734825134
20,0.17711202800273895,0.17711202800273895,0.3137204051017761,0.4208467900753021,0.17670202255249023,0.17670202255249023,0.3164611756801605,0.42035940289497375
21,0.17703773081302643,0.17703773081302643,0.31361496448516846,0.42075851559638977,0.17566056549549103,0.17566056549549103,0.31187474727630615,0.4191187918186188
22,0.17699570953845978,0.17699570953845978,0.3135513961315155,0.420708566904068,0.17719031870365143,0.17719031870365143,0.3157843053340912,0.4209398031234741
23,0.1769503951072693,0.1769503951072693,0.3135699927806854,0.4206547141075134,0.17682695388793945,0.17682695388793945,0.30941447615623474,0.4205079674720764
24,0.17683693766593933,0.17683693766593933,0.31342992186546326,0.4205198287963867,0.17582222819328308,0.17582222819328308,0.3132551312446594,0.41931161284446716
25,0.17675653100013733,0.17675653100013733,0.3133571743965149,0.420424222946167,0.1756567656993866,0.1756567656993866,0.3102019429206848,0.41911426186561584
26,0.17673277854919434,0.17673277854919434,0.31335097551345825,0.42039597034454346,0.1758699268102646,0.1758699268102646,0.314050555229187,0.4193684756755829
27,0.1766248494386673,0.1766248494386673,0.3132169544696808,0.42026758193969727,0.17667149007320404,0.17667149007320404,0.30923619866371155,0.42032307386398315
28,0.1765819787979126,0.1765819787979126,0.3132046163082123,0.4202165901660919,0.17921334505081177,0.17921334505081177,0.3223879337310791,0.4233359694480896
29,0.17653323709964752,0.17653323709964752,0.3131159245967865,0.42015859484672546,0.1759641319513321,0.1759641319513321,0.31182795763015747,0.4194808006286621
30,0.17652484774589539,0.17652484774589539,0.3130824565887451,0.4201486110687256,0.1762135773897171,0.1762135773897171,0.31429019570350647,0.4197780191898346
31,0.17645150423049927,0.17645150423049927,0.3130294978618622,0.420061320066452,0.1753644347190857,0.1753644347190857,0.31183743476867676,0.4187653660774231
32,0.1764436513185501,0.1764436513185501,0.31300219893455505,0.4200519621372223,0.175462007522583,0.175462007522583,0.3102971315383911,0.4188818633556366
33,0.176333487033844,0.176333487033844,0.3129222095012665,0.41992080211639404,0.17622242867946625,0.17622242867946625,0.3089539706707001,0.41978853940963745
34,0.17631718516349792,0.17631718516349792,0.3129138648509979,0.41990140080451965,0.17719000577926636,0.17719000577926636,0.31777068972587585,0.42093944549560547
35,0.17627973854541779,0.17627973854541779,0.3128633201122284,0.41985681653022766,0.17550356686115265,0.17550356686115265,0.31203916668891907,0.4189314544200897
36,0.17626294493675232,0.17626294493675232,0.3128194212913513,0.4198368191719055,0.17678289115428925,0.17678289115428925,0.3081068694591522,0.42045557498931885
